LABEL,pValueCutLo_,Tracks over Q,Time/event [s], Times FSQ is called
mainFit,N/A,2424,6.99056,0
FSQ,N/A,3838,19.8845,0
A,0.0000,3926,20.7402,12044
B,0.0001,3168,11.4155,4404
C,0.0002,3133,11.1607,4222
D,0.0003,3110,11.0293,4113
E,0.0004,3099,10.9219,4041
F,0.0005,3089,10.8073,3964
G,0.0006,3081,10.7371,3913
H,0.0007,3067,10.6498,3855
I,0.0008,3053,10.5964,3803
J,0.0009,3043,10.5531,3754
K,0.0010,3039,10.5049,3719
L,0.0020,2982,10.159,3450
M,0.0030,2942,9.97268,3288
N,0.0040,2909,9.82068,3167
O,0.0050,2890,9.71427,3073
P,0.0060,2868,9.60603,2980
Q,0.0070,2842,9.50612,2905
R,0.0080,2823,9.41228,2836
S,0.0090,2801,9.33302,2782
T,0.0100,2785,9.25323,2720
U,0.0110,2765,9.19895,2673
V,0.0120,2745,9.1317,2617
X,0.0130,2735,9.04378,2552
Y,0.0140,2722,8.99708,2523
Z,0.0150,2710,8.94089,2483
AA,0.0160,2695,8.86722,2435
AB,0.0170,2681,8.82325,2396
AC,0.0180,2672,8.78853,2368
AD,0.0190,2665,8.72384,2328
AE,0.020,2659,8.67444,2296
AF,0.025,2610,8.47661,2160
AG,0.030,2573,8.30552,2045
AH,0.035,2533,8.14428,1930
AI,0.040,2494,8.0243,1836
AJ,0.045,2463,7.89461,1750
